log目录,policy,在线测试任务信息,数据块信息,历史任务信息,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Target Run Time,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success),Success Datablock Num,Failed Datablock Num,Target Datablock Num,Run Time
schedule-review-simulation-05-15-15-51-19,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48,1000,0.033,1,0,0,100,100,3,5,862.0(862-862),138.0(138-138),8.326608614562005(8.326608614562005-8.326608614562005),9.659638763993044(9.659638763993044-9.659638763993044),12703.0(12703-12703),1025.0(1025-1025),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-35-16,HISwithOrderProVersionPolicy(1000),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48,1000,0.05,1,1000,0,100,100,2,5,767.8(760-778),232.2(222-240),7.084499476498472(7.041917240330437-7.136098552766398),9.227205672044741(9.17236317836298-9.265680579382154),9915.2(9861-9996),3812.8(3732-3867),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-35-52,HISwithOrderProVersionPolicy(800),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48,1000,0.05,1,800,0,100,100,2,5,771.0(764-782),229.0(218-236),6.997820671106569(6.942578877433416-7.041572465740281),9.076668871153592(9.004568370511869-9.144654794434095),9796.6(9707-9853),3931.4(3875-4021),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-36-20,HISwithOrderProVersionPolicy(600),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48,1000,0.05,1,600,0,100,100,2,5,746.8(732-754),253.2(246-268),6.37734847752306(6.326720286885246-6.448229228035357),8.54005981789197(8.446889568605135-8.653509689340641),8965.8(8879-9051),4762.2(4677-4849),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-36-52,HISwithOrderProVersionPolicy(400),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48,1000,0.05,1,400,0,100,100,2,5,659.6(648-668),340.4(332-352),5.106243360975931(5.066255267033823-5.135760478035357),7.7422106523168015(7.645327672811409-7.895285338676079),7291.8(7227-7343),6436.2(6385-6501),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-37-58,HISwithOrderProVersionPolicy(200),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48,1000,0.05,1,200,0,100,100,2,5,540.0(532-544),460.0(456-468),3.9821510021772495(3.9477006755891337-4.029627009157268),7.37454377452533(7.329829598791806-7.434736179256952),5808.4(5773-5863),7919.6(7865-7955),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-38-31,HISwithOrderProVersionPolicy(0),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48,1000,0.05,1,0,0,100,100,2,5,437.4(423-445),562.6(555-577),3.433731706262806(3.4138473600794033-3.4517953141009214),7.852802142076631(7.731773051839656-8.113150905417967),5183.6(5157-5207),8544.4(8521-8571),13728.0(13728-13728),5
schedule-review-simulation-05-15-15-40-58,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48,1000,0.05,1,0,0,100,100,2,5,762.0(762-762),238.0(238-238),7.490701331967216(7.490701331967216-7.490701331967216),9.830316708618394(9.830316708618394-9.830316708618394),11663.0(11663-11663),2065.0(2065-2065),13728.0(13728-13728),5
schedule-review-simulation-05-15-15-11-06,HISwithOrderProVersionPolicy(1000),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,1000,0,100,100,1,5,593.0(590-598),407.0(402-410),5.276156813524589(5.259506779905223-5.303758572938009),8.897642148482532(8.807941548244838-8.989421310064422),7417.6(7391-7457),6310.4(6271-6337),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-13-38,HISwithOrderProVersionPolicy(800),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,800,0,100,100,1,5,593.2(583-599),406.8(401-417),5.153635433209532(5.128623623206968-5.187601842661379),8.688499320438115(8.624768467639027-8.810603401555872),7240.0(7204-7299),6488.0(6429-6524),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-14-36,HISwithOrderProVersionPolicy(600),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,600,0,100,100,1,5,584.6(581-587),415.4(413-419),4.861421985463629(4.842042504482589-4.879246141777663),8.315970654647453(8.262871168059025-8.394321545733582),6753.0(6722-6777),6975.0(6951-7006),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-15-26,HISwithOrderProVersionPolicy(400),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,400,0,100,100,1,5,518.4(502-530),481.6(470-498),4.13222828349129(4.104344814613214-4.171447737897032),7.973297940379271(7.8235887267292386-8.195499348660688),5730.6(5698-5778),7997.4(7950-8030),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-16-04,HISwithOrderProVersionPolicy(200),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,200,0,100,100,1,5,412.0(403-420),588.0(580-597),2.6522398805712095(2.618314981429303-2.6816994668929315),6.438885283339961(6.324432322293002-6.605171100721506),3835.6(3789-3889),9892.4(9839-9939),13728.0(13728-13728),5
