log目录,policy,在线测试任务信息,数据块信息,历史任务信息,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Target Run Time,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success),Success Datablock Num,Failed Datablock Num,Target Datablock Num,Run Time
schedule-review-simulation-05-17-15-47-29,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,5,410.8(408-417),89.2(83-92),5.873070822574053(5.858887486268802-5.88741826032045),7.148715644879101(7.048281747670506-7.182766830512255),4706.8(4696-4715),2452.2(2444-2463),7159.0(7159-7159),5.0
schedule-review-simulation-05-17-15-47-56,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,5,335.2(333-338),164.8(162-167),5.049652699154715(5.0372580046106545-5.0566972175973355),7.532446171966529(7.480321327806709-7.563450457373355),3777.8(3773-3782),3381.2(3377-3386),7159.0(7159-7159),5.0
schedule-review-simulation-05-17-15-48-31,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,5,312.0(312-312),188.0(188-188),4.984880667264341(4.984880667264341-4.984880667264341),7.988590812923624(7.988590812923624-7.988590812923624),3754.0(3754-3754),3405.0(3405-3405),7159.0(7159-7159),5.0
schedule-review-simulation-05-17-15-48-58,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,5,393.0(393-393),107.0(107-107),7.732662413550203(7.7326624135502025-7.7326624135502025),9.837992892557509(9.837992892557509-9.837992892557509),6354.0(6354-6354),805.0(805-805),7159.0(7159-7159),5.0
schedule-review-simulation-05-09-22-21-01,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,509.6(490-528),490.4(472-510),3.37369984951332(3.3217911276895475-3.408009093237705),6.623635534378202(6.450167326683207-6.779165566713362),4811.6(4731-4887),8916.4(8841-8997),13728.0(13728-13728),5.0
schedule-review-simulation-05-15-15-11-06,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,1000,0,100,100,1,5,593.0(590-598),407.0(402-410),5.276156813524589(5.259506779905223-5.303758572938009),8.897642148482532(8.807941548244838-8.989421310064422),7417.6(7391-7457),6310.4(6271-6337),13728.0(13728-13728),5.0
schedule-review-simulation-05-10-11-18-54,PBGPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,397.2(394-399),602.8(601-606),2.5705919745773564(2.5664774510117856-2.574759101242313),6.4719296631768035(6.432274313312745-6.530372601217284),3910.6(3904-3918),9817.4(9810-9824),13728.0(13728-13728),5.0
schedule-review-simulation-05-10-11-12-19,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,403.6(402-406),596.4(594-598),2.6091373891570937(2.592330415854619-2.6213295399248233),6.464792662663785(6.385050285356205-6.496236838540655),4011.8(3995-4028),9716.2(9700-9733),13728.0(13728-13728),5.0
schedule-review-simulation-05-10-11-20-08,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,395.8(392-397),604.2(603-608),2.5769701524077875(2.5693710137038925-2.5836073418288956),6.510949555857718(6.471967288926681-6.575247791707614),3920.8(3912-3928),9807.2(9800-9816),13728.0(13728-13728),5.0
schedule-review-simulation-05-10-11-20-42,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,383.0(383-383),617.0(617-617),2.6449389968621935(2.6449389968621935-2.6449389968621935),6.905845944809906(6.905845944809905-6.905845944809905),4020.0(4020-4020),9708.0(9708-9708),13728.0(13728-13728),5.0
schedule-review-simulation-05-11-21-28-01,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,566.0(566-566),434.0(434-434),5.603705670466188(5.603705670466188-5.603705670466188),9.900540053827187(9.900540053827187-9.900540053827187),9001.0(9001-9001),4727.0(4727-4727),13728.0(13728-13728),5.0
schedule-review-simulation-05-09-22-28-37,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,2000,0.1,1,0,0,100,100,1,5,693.8(684-705),1306.2(1295-1316),2.776026479252051(2.7682056704661915-2.7848435298732093),8.003260988402156(7.900265332973643-8.103316785322148),7678.8(7648-7697),18948.2(18930-18979),26627.0(26627-26627),5.0
schedule-review-simulation-05-16-19-41-52,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,2000,0.1,1,2000,0,100,100,1,5,559.0(559-559),1441.0(1441-1441),3.2929149630187(3.2929149630187-3.2929149630187),11.781448883787835(11.781448883787835-11.781448883787835),8999.0(8999-8999),17628.0(17628-17628),26627.0(26627-26627),1.0
schedule-review-simulation-05-10-11-21-27,PBGPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,2000,0.1,1,0,0,100,100,1,5,379.0(377-382),1621.0(1618-1623),1.1632117043417014(1.1581149502113222-1.1669016753650103),6.138398584777915(6.098768974699062-6.157792482137258),3563.8(3555-3571),23063.2(23056-23072),26627.0(26627-26627),5.0
schedule-review-simulation-05-10-11-22-13,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,2000,0.1,1,0,0,100,100,1,5,392.2(386-397),1607.8(1603-1614),1.1700375196952255(1.1673436596783227-1.1715010003169106),5.967119379017018(5.901768263561263-6.048412744447267),3615.2(3599-3630),23011.8(22997-23028),26627.0(26627-26627),5.0
schedule-review-simulation-05-10-11-22-47,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,2000,0.1,1,0,0,100,100,1,5,379.0(375-382),1621.0(1618-1625),1.161643144851435(1.1598320392546106-1.164731905577613),6.130269642629079(6.095938620225304-6.192922942281429),3557.6(3554-3564),23069.4(23063-23073),26627.0(26627-26627),5.0
schedule-review-simulation-05-10-11-23-21,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,2000,0.1,1,0,0,100,100,1,5,382.0(382-382),1618.0(1618-1618),1.1917246253842206(1.1917246253842206-1.1917246253842206),6.239395944420004(6.239395944420004-6.239395944420004),3680.0(3680-3680),22947.0(22947-22947),26627.0(26627-26627),5.0
schedule-review-simulation-05-11-21-43-25,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,2000,0.1,1,0,0,100,100,1,5,568.0(568-568),1432.0(1432-1432),3.3184724921554807(3.3184724921554807-3.3184724921554807),11.684762296322114(11.684762296322114-11.684762296322114),11843.0(11843-11843),14784.0(14784-14784),26627.0(26627-26627),5.0
schedule-review-simulation-05-09-22-29-52,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,3000,0.1,1,0,0,100,100,1,5,714.0(684-733),2286.0(2267-2316),2.037140962794571(2.03246342426571-2.042048606664106),8.563713815889063(8.333752066565527-8.914313264323289),8334.8(8302-8394),31580.2(31521-31613),39915.0(39915-39915),5.0
schedule-review-simulation-05-16-19-42-41,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,3000,0.1,1,3000,0,100,100,1,5,,,,,,,,
schedule-review-simulation-05-10-11-25-38,PBGPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,3000,0.1,1,0,0,100,100,1,5,367.0(365-368),2633.0(2632-2635),0.7497159788037913(0.7465290007044062-0.7520087063481896),6.128488890342588(6.103772120567537-6.140154472845577),3384.0(3374-3390),36531.0(36525-36541),39915.0(39915-39915),5.0
schedule-review-simulation-05-10-11-26-09,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,3000,0.1,1,0,0,100,100,1,5,394.6(393-397),2605.4(2603-2607),0.7610291992840221(0.7591402091544749-0.762733279241369),5.785947660622388(5.748327080219996-5.822391444590603),3461.6(3450-3474),36453.4(36441-36465),39915.0(39915-39915),5.0
schedule-review-simulation-05-10-11-26-45,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,3000,0.1,1,0,0,100,100,1,5,366.0(364-368),2634.0(2632-2636),0.7487417461791327(0.7470239177766401-0.750005525849556),6.137276307791682(6.112065245233427-6.156790531126155),3379.4(3372-3387),36535.6(36528-36543),39915.0(39915-39915),5.0
schedule-review-simulation-05-10-11-27-37,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,3000,0.1,1,0,0,100,100,1,5,375.0(375-375),2625.0(2625-2625),0.7779042781975759(0.7779042781975759-0.7779042781975759),6.223234225580607(6.223234225580607-6.223234225580607),3494.0(3494-3494),36421.0(36421-36421),39915.0(39915-39915),5.0
schedule-review-simulation-05-11-21-43-57,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,3000,0.1,1,0,0,100,100,1,5,483.0(483-483),2517.0(2517-2517),2.2280624493041326(2.2280624493041326-2.2280624493041326),13.838897200646786(13.838897200646786-13.838897200646786),14209.0(14209-14209),25706.0(25706-25706),39915.0(39915-39915),5.0
schedule-review-simulation-05-09-22-30-36,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,4000,0.1,1,0,0,100,100,1,5,677.0(645-701),3323.0(3299-3355),1.6225947922003083(1.6170962294281517-1.62613521588435),9.594774659665466(9.227367928263348-10.061803238975733),8809.8(8766-8851),45952.2(45911-45996),54762.0(54762-54762),5.0
schedule-review-simulation-05-17-09-48-57,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,4000,0.1,1,2000,0,100,100,1,5,,,,,,,,
schedule-review-simulation-05-10-11-28-42,PBGPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,4000,0.1,1,0,0,100,100,1,5,373.0(371-375),3627.0(3625-3629),0.6008995065157532(0.6004083672195188-0.6015601546490779),6.444092221611285(6.408306074965848-6.481634359396405),3556.2(3555-3561),51205.8(51201-51207),54762.0(54762-54762),5.0
schedule-review-simulation-05-10-11-29-28,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,4000,0.1,1,0,0,100,100,1,5,378.0(375-381),3622.0(3619-3625),0.6063553181925604(0.6050476862205111-0.607071872055715),6.416631420668483(6.373457974338215-6.46436748046224),3641.4(3629-3654),51120.6(51108-51133),54762.0(54762-54762),5.0
schedule-review-simulation-05-10-11-30-09,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,4000,0.1,1,0,0,100,100,1,5,373.4(371-377),3626.6(3623-3629),0.6006991391041241(0.5994804507396255-0.6018979572233617),6.435149749790368(6.360535286362075-6.489465846073981),3554.8(3544-3567),51207.2(51195-51218),54762.0(54762-54762),5.0
schedule-review-simulation-05-10-11-31-05,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,4000,0.1,1,0,0,100,100,1,5,362.0(362-362),3638.0(3638-3638),0.604027101610528(0.604027101610528-0.604027101610528),6.6743326144809725(6.6743326144809725-6.6743326144809725),3600.0(3600-3600),51162.0(51162-51162),54762.0(54762-54762),5.0
schedule-review-simulation-05-11-21-45-07,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,4000,0.1,1,0,0,100,100,1,5,434.0(434-434),3566.0(3566-3566),1.6955767362000524(1.6955767362000524-1.6955767362000524),15.627435356682511(15.627435356682511-15.627435356682511),14313.0(14313-14313),40449.0(40449-40449),54762.0(54762-54762),5.0
