log目录,在线测试任务信息,数据块信息,历史任务信息,policy,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success)
schedule-review-simulation-05-09-22-21-01,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,IterativeHISwithOrderPolicy(100),1000,0.1,1,0,0,100,100,1,509.6(490-528),490.4(472-510),3.37369984951332(3.3217911276895475-3.408009093237705),6.623635534378202(6.450167326683207-6.779165566713362)
schedule-review-simulation-05-10-12-09-42,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,HISPolicy,1000,0.1,1,0,0,100,100,1,416.6(414-420),583.4(580-586),2.5340361055968232(2.52744788198002-2.5395137839395496),6.082826304384561(6.022951772601967-6.1252700105985705)
schedule-review-simulation-05-10-11-18-54,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,PBGPolicy,1000,0.1,1,0,0,100,100,1,397.2(394-399),602.8(601-606),2.5705919745773564(2.5664774510117856-2.574759101242313),6.4719296631768035(6.432274313312745-6.530372601217284)
schedule-review-simulation-05-10-11-12-19,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,PBGMixPolicy,1000,0.1,1,0,0,100,100,1,403.6(402-406),596.4(594-598),2.6091373891570937(2.592330415854619-2.6213295399248233),6.464792662663785(6.385050285356205-6.496236838540655)
schedule-review-simulation-05-10-11-20-08,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,SagewithRemainPolicy,1000,0.1,1,0,0,100,100,1,395.8(392-397) ,604.2(603-608),2.5769701524077875(2.5693710137038925-2.5836073418288956),6.510949555857718(6.471967288926681-6.575247791707614)
schedule-review-simulation-05-10-11-20-42,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,BestFitwithRemainPolicy,1000,0.1,1,0,0,100,100,1,383.0(383-383),617.0(617-617),2.6449389968621935(2.6449389968621935-2.6449389968621935),6.905845944809906(6.905845944809905-6.905845944809905)
schedule-review-simulation-05-11-21-28-01,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,OfflinePolicy,1000,0.1,1,0,0,100,100,1,566.0(566-566),434.0(434-434),5.603705670466188(5.603705670466188-5.603705670466188),9.900540053827187(9.900540053827187-9.900540053827187)
schedule-review-simulation-05-09-22-28-37,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,IterativeHISwithOrderPolicy(100),2000,0.1,1,0,0,100,100,1,693.8(684-705),1306.2(1295-1316),2.776026479252051(2.7682056704661915-2.7848435298732093),8.003260988402156(7.900265332973643-8.103316785322148)
 ,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,HISPolicy,2000,0.1,1,0,0,100,100,1, , , , 
schedule-review-simulation-05-10-11-21-27,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,PBGPolicy,2000,0.1,1,0,0,100,100,1,379.0(377-382),1621.0(1618-1623),1.1632117043417014(1.1581149502113222-1.1669016753650103),6.138398584777915(6.098768974699062-6.157792482137258)
schedule-review-simulation-05-10-11-22-13,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,PBGMixPolicy,2000,0.1,1,0,0,100,100,1,392.2(386-397),1607.8(1603-1614),1.1700375196952255(1.1673436596783227-1.1715010003169106),5.967119379017018(5.901768263561263-6.048412744447267)
schedule-review-simulation-05-10-11-22-47,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,SagewithRemainPolicy,2000,0.1,1,0,0,100,100,1,379.0(375-382),1621.0(1618-1625),1.161643144851435(1.1598320392546106-1.164731905577613),6.130269642629079(6.095938620225304-6.192922942281429)
schedule-review-simulation-05-10-11-23-21,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,BestFitwithRemainPolicy,2000,0.1,1,0,0,100,100,1,382.0(382-382),1618.0(1618-1618),1.1917246253842206(1.1917246253842206-1.1917246253842206),6.239395944420004(6.239395944420004-6.239395944420004)
schedule-review-simulation-05-11-21-43-25,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,OfflinePolicy,2000,0.1,1,0,0,100,100,1,568.0(568-568),1432.0(1432-1432),3.3184724921554807(3.3184724921554807-3.3184724921554807),11.684762296322114(11.684762296322114-11.684762296322114)
schedule-review-simulation-05-09-22-29-52,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,IterativeHISwithOrderPolicy(100),3000,0.1,1,0,0,100,100,1,714.0(684-733),2286.0(2267-2316),2.037140962794571(2.03246342426571-2.042048606664106),8.563713815889063(8.333752066565527-8.914313264323289)
schedule-review-simulation-05-10-11-24-58,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,HISPolicy,3000,0.1,1,0,0,100,100,1, , , , 
schedule-review-simulation-05-10-11-25-38,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,PBGPolicy,3000,0.1,1,0,0,100,100,1,367.0(365-368),2633.0(2632-2635),0.7497159788037913(0.7465290007044062-0.7520087063481896),6.128488890342588(6.103772120567537-6.140154472845577)
schedule-review-simulation-05-10-11-26-09,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,PBGMixPolicy,3000,0.1,1,0,0,100,100,1,394.6(393-397),2605.4(2603-2607),0.7610291992840221(0.7591402091544749-0.762733279241369),5.785947660622388(5.748327080219996-5.822391444590603)
schedule-review-simulation-05-10-11-26-45,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,SagewithRemainPolicy,3000,0.1,1,0,0,100,100,1,366.0(364-368),2634.0(2632-2636),0.7487417461791327(0.7470239177766401-0.750005525849556),6.137276307791682(6.112065245233427-6.156790531126155)
schedule-review-simulation-05-10-11-27-37,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,BestFitwithRemainPolicy,3000,0.1,1,0,0,100,100,1,375.0(375-375),2625.0(2625-2625),0.7779042781975759(0.7779042781975759-0.7779042781975759),6.223234225580607(6.223234225580607-6.223234225580607)
schedule-review-simulation-05-11-21-43-57,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,OfflinePolicy,3000,0.1,1,0,0,100,100,1,483.0(483-483),2517.0(2517-2517),2.2280624493041326(2.2280624493041326-2.2280624493041326),13.838897200646786(13.838897200646786-13.838897200646786)
schedule-review-simulation-05-09-22-30-36,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,IterativeHISwithOrderPolicy(100),4000,0.1,1,0,0,100,100,1,677.0(645-701),3323.0(3299-3355),1.6225947922003083(1.6170962294281517-1.62613521588435),9.594774659665466(9.227367928263348-10.061803238975733)
 ,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,HISPolicy,4000,0.1,1,0,0,100,100,1, , , , 
schedule-review-simulation-05-10-11-28-42,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,PBGPolicy,4000,0.1,1,0,0,100,100,1,373.0(371-375),3627.0(3625-3629),0.6008995065157532(0.6004083672195188-0.6015601546490779),6.444092221611285(6.408306074965848-6.481634359396405)
schedule-review-simulation-05-10-11-29-28,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,PBGMixPolicy,4000,0.1,1,0,0,100,100,1,378.0(375-381),3622.0(3619-3625) ,0.6063553181925604(0.6050476862205111-0.607071872055715),6.416631420668483(6.373457974338215-6.46436748046224)
schedule-review-simulation-05-10-11-30-09,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,SagewithRemainPolicy,4000,0.1,1,0,0,100,100,1,373.4(371-377),3626.6(3623-3629),0.6006991391041241(0.5994804507396255-0.6018979572233617),6.435149749790368(6.360535286362075-6.489465846073981)
schedule-review-simulation-05-10-11-31-05,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,BestFitwithRemainPolicy,4000,0.1,1,0,0,100,100,1,362.0(362-362),3638.0(3638-3638),0.604027101610528(0.604027101610528-0.604027101610528),6.6743326144809725(6.6743326144809725-6.6743326144809725)
schedule-review-simulation-05-11-21-45-07,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,OfflinePolicy,4000,0.1,1,0,0,100,100,1,434.0(434-434),3566.0(3566-3566),1.6955767362000524(1.6955767362000524-1.6955767362000524),15.627435356682511(15.627435356682511-15.627435356682511)
